dataset	estimator	LT+TL_average_precision	LT+TL_average_precision_rank	LT+TL_average_precision_victories	LT+TL_roc_auc	LT+TL_roc_auc_rank	LT+TL_roc_auc_victories	TT_average_precision	TT_average_precision_rank	TT_average_precision_victories	TT_roc_auc	TT_roc_auc_rank	TT_roc_auc_victories	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories
ion_channels	md_density__70	0.29 (0.03)	0.09 (0.02)	0.0 (0.0)	0.75 (0.02)	0.62 (0.22)	0.06 (0.25)	0.1 (0.03)	0.18 (0.17)	0.0 (0.0)	0.62 (0.03)	0.23 (0.19)	0.0 (0.0)	11.98 (0.42)	0.95 (0.04)	0.38 (0.5)	11.55 (0.42)	0.95 (0.04)	0.38 (0.5)
ion_channels	md_fixed__70	<b>0.34 (0.04)</b>	<b>0.92 (0.09)</b>	<b>0.44 (0.51)</b>	0.75 (0.02)	0.7 (0.16)	0.12 (0.34)	<b>0.17 (0.07)</b>	<b>0.75 (0.23)</b>	<b>0.31 (0.48)</b>	<b>0.68 (0.05)</b>	<b>0.75 (0.24)</b>	<b>0.31 (0.48)</b>	4.09 (0.18)	0.17 (0.0)	0.0 (0.0)	3.54 (0.14)	0.17 (0.0)	0.0 (0.0)
ion_channels	md_random__70	0.31 (0.03)	0.21 (0.12)	0.0 (0.0)	0.75 (0.02)	0.76 (0.18)	0.06 (0.25)	0.11 (0.05)	0.24 (0.17)	0.0 (0.0)	0.63 (0.05)	0.28 (0.21)	0.0 (0.0)	9.42 (0.24)	0.78 (0.04)	0.0 (0.0)	8.97 (0.26)	0.78 (0.04)	0.0 (0.0)
ion_channels	md_size__70	0.33 (0.04)	0.65 (0.25)	0.06 (0.25)	<b>0.75 (0.02)</b>	<b>0.9 (0.14)</b>	<b>0.5 (0.52)</b>	0.14 (0.06)	0.42 (0.24)	0.0 (0.0)	0.65 (0.05)	0.47 (0.28)	0.06 (0.25)	6.53 (0.2)	0.58 (0.0)	0.0 (0.0)	6.07 (0.21)	0.58 (0.0)	0.0 (0.0)
ion_channels	mse_density__70	0.33 (0.04)	0.52 (0.3)	0.12 (0.34)	0.75 (0.02)	0.55 (0.23)	0.06 (0.25)	0.14 (0.05)	0.41 (0.21)	0.0 (0.0)	<b>0.67 (0.06)</b>	<b>0.7 (0.23)</b>	<b>0.12 (0.34)</b>	12.23 (0.42)	0.97 (0.04)	0.62 (0.5)	11.83 (0.42)	0.97 (0.04)	0.62 (0.5)
ion_channels	mse_fixed__70	0.32 (0.04)	0.41 (0.15)	0.0 (0.0)	0.73 (0.02)	0.32 (0.19)	0.0 (0.0)	<b>0.16 (0.08)</b>	<b>0.66 (0.26)</b>	<b>0.12 (0.34)</b>	0.66 (0.06)	0.62 (0.18)	0.0 (0.0)	5.01 (0.18)	0.34 (0.08)	0.0 (0.0)	4.5 (0.18)	0.31 (0.06)	0.0 (0.0)
ion_channels	mse_random__70	0.34 (0.04)	0.8 (0.19)	0.25 (0.45)	0.75 (0.02)	0.75 (0.17)	0.06 (0.25)	0.15 (0.06)	0.6 (0.31)	0.12 (0.34)	<b>0.68 (0.04)</b>	<b>0.82 (0.23)</b>	<b>0.12 (0.34)</b>	9.61 (0.36)	0.81 (0.04)	0.0 (0.0)	9.2 (0.37)	0.81 (0.04)	0.0 (0.0)
ion_channels	mse_size__70	0.33 (0.04)	0.68 (0.19)	0.06 (0.25)	0.75 (0.02)	0.83 (0.12)	0.12 (0.34)	<b>0.16 (0.07)</b>	<b>0.65 (0.22)</b>	<b>0.06 (0.25)</b>	0.67 (0.05)	0.72 (0.24)	0.19 (0.4)	7.26 (0.25)	0.67 (0.0)	0.0 (0.0)	6.82 (0.25)	0.67 (0.0)	0.0 (0.0)
kiba	ad_density__70	0.46 (0.01)	0.48 (0.11)	0.0 (0.0)	0.79 (0.01)	0.42 (0.07)	0.0 (0.0)	<b>0.29 (0.01)</b>	<b>0.7 (0.14)</b>	<b>0.0 (0.0)</b>	0.66 (0.02)	0.7 (0.13)	0.0 (0.0)	2531.15 (213.29)	0.53 (0.04)	0.0 (0.0)	2510.69 (218.69)	0.53 (0.04)	0.0 (0.0)
kiba	ad_fixed__70	0.46 (0.01)	0.48 (0.08)	0.0 (0.0)	0.79 (0.01)	0.38 (0.08)	0.0 (0.0)	0.3 (0.02)	0.76 (0.16)	0.06 (0.25)	0.66 (0.02)	0.7 (0.14)	0.0 (0.0)	2563.94 (201.91)	0.56 (0.04)	0.0 (0.0)	2544.97 (205.69)	0.56 (0.04)	0.0 (0.0)
kiba	ad_random__70	0.46 (0.01)	0.63 (0.11)	0.0 (0.0)	0.79 (0.01)	0.55 (0.08)	0.0 (0.0)	<b>0.29 (0.02)</b>	<b>0.67 (0.19)</b>	<b>0.06 (0.25)</b>	0.66 (0.02)	0.67 (0.12)	0.06 (0.25)	2105.32 (175.76)	0.42 (0.0)	0.0 (0.0)	2085.07 (180.8)	0.42 (0.0)	0.0 (0.0)
kiba	ad_size__70	0.46 (0.01)	0.84 (0.07)	0.06 (0.25)	0.79 (0.01)	0.79 (0.09)	0.0 (0.0)	<b>0.29 (0.02)</b>	<b>0.73 (0.18)</b>	<b>0.12 (0.34)</b>	0.66 (0.02)	0.69 (0.22)	0.06 (0.25)	1449.08 (41.85)	0.26 (0.05)	0.0 (0.0)	1429.82 (45.66)	0.26 (0.05)	0.0 (0.0)
kiba	md_density__70	0.46 (0.01)	0.37 (0.12)	0.0 (0.0)	0.79 (0.01)	0.52 (0.1)	0.0 (0.0)	0.28 (0.02)	0.11 (0.09)	0.0 (0.0)	0.64 (0.01)	0.09 (0.02)	0.0 (0.0)	1496.05 (72.23)	0.26 (0.09)	0.0 (0.0)	1477.69 (73.35)	0.26 (0.09)	0.0 (0.0)
kiba	md_fixed__70	<b>0.47 (0.01)</b>	<b>0.99 (0.03)</b>	<b>0.88 (0.34)</b>	<b>0.8 (0.01)</b>	<b>0.98 (0.03)</b>	<b>0.81 (0.4)</b>	<b>0.3 (0.02)</b>	<b>0.78 (0.24)</b>	<b>0.19 (0.4)</b>	<b>0.67 (0.02)</b>	<b>0.82 (0.23)</b>	<b>0.31 (0.48)</b>	14477.81 (1036.62)	0.75 (0.0)	0.0 (0.0)	14458.96 (1041.15)	0.75 (0.0)	0.0 (0.0)
kiba	md_random__70	0.46 (0.01)	0.54 (0.11)	0.0 (0.0)	0.79 (0.01)	0.65 (0.09)	0.0 (0.0)	0.28 (0.02)	0.22 (0.1)	0.0 (0.0)	0.64 (0.02)	0.18 (0.07)	0.0 (0.0)	1422.0 (78.3)	0.23 (0.08)	0.0 (0.0)	1402.22 (77.29)	0.23 (0.08)	0.0 (0.0)
kiba	md_size__70	0.46 (0.01)	0.76 (0.07)	0.0 (0.0)	0.79 (0.01)	0.8 (0.05)	0.0 (0.0)	0.29 (0.02)	0.38 (0.14)	0.0 (0.0)	0.65 (0.02)	0.32 (0.15)	0.0 (0.0)	<b>1305.61 (51.99)</b>	<b>0.09 (0.02)</b>	<b>0.0 (0.0)</b>	<b>1288.74 (54.14)</b>	<b>0.09 (0.02)</b>	<b>0.0 (0.0)</b>
kiba	mse_density__70	0.44 (0.01)	0.15 (0.07)	0.0 (0.0)	0.78 (0.01)	0.13 (0.04)	0.0 (0.0)	0.29 (0.01)	0.44 (0.29)	0.12 (0.34)	0.66 (0.01)	0.51 (0.3)	0.19 (0.4)	21819.5 (715.27)	0.98 (0.04)	0.75 (0.45)	21802.43 (717.57)	0.98 (0.04)	0.75 (0.45)
kiba	mse_fixed__70	0.47 (0.01)	0.9 (0.05)	0.06 (0.25)	0.8 (0.01)	0.91 (0.06)	0.19 (0.4)	<b>0.3 (0.02)</b>	<b>0.79 (0.24)</b>	<b>0.38 (0.5)</b>	<b>0.67 (0.02)</b>	<b>0.84 (0.2)</b>	<b>0.38 (0.5)</b>	19331.59 (1889.39)	0.92 (0.06)	0.25 (0.45)	19309.6 (1896.3)	0.92 (0.06)	0.25 (0.45)
kiba	mse_random__70	0.44 (0.01)	0.12 (0.05)	0.0 (0.0)	0.78 (0.01)	0.12 (0.04)	0.0 (0.0)	0.29 (0.01)	0.46 (0.29)	0.06 (0.25)	0.66 (0.01)	0.46 (0.22)	0.0 (0.0)	18000.67 (573.72)	0.85 (0.04)	0.0 (0.0)	17983.77 (575.87)	0.85 (0.04)	0.0 (0.0)
kiba	mse_size__70	0.45 (0.01)	0.24 (0.06)	0.0 (0.0)	0.78 (0.01)	0.26 (0.02)	0.0 (0.0)	0.29 (0.01)	0.48 (0.14)	0.0 (0.0)	0.66 (0.02)	0.51 (0.11)	0.0 (0.0)	10397.65 (394.85)	0.67 (0.0)	0.0 (0.0)	10381.89 (396.58)	0.67 (0.0)	0.0 (0.0)
lncrna	ad_density__70	0.46 (0.03)	0.56 (0.16)	0.0 (0.0)	0.76 (0.03)	0.35 (0.15)	0.0 (0.0)	0.28 (0.07)	0.7 (0.21)	0.06 (0.25)	0.63 (0.06)	0.54 (0.25)	0.06 (0.25)	209.57 (13.94)	0.52 (0.05)	0.0 (0.0)	204.04 (14.52)	0.52 (0.05)	0.0 (0.0)
lncrna	ad_fixed__70	0.46 (0.03)	0.55 (0.13)	0.0 (0.0)	0.77 (0.03)	0.43 (0.16)	0.0 (0.0)	0.28 (0.07)	0.66 (0.17)	0.06 (0.25)	0.63 (0.06)	0.6 (0.22)	0.0 (0.0)	198.97 (10.7)	0.42 (0.06)	0.0 (0.0)	193.45 (11.51)	0.42 (0.06)	0.0 (0.0)
lncrna	ad_random__70	0.46 (0.03)	0.52 (0.12)	0.0 (0.0)	0.77 (0.03)	0.4 (0.13)	0.0 (0.0)	0.28 (0.07)	0.63 (0.21)	0.06 (0.25)	0.63 (0.06)	0.57 (0.21)	0.06 (0.25)	213.21 (12.23)	0.55 (0.04)	0.0 (0.0)	207.63 (12.94)	0.55 (0.04)	0.0 (0.0)
lncrna	ad_size__70	<b>0.48 (0.03)</b>	<b>0.98 (0.03)</b>	<b>0.81 (0.4)</b>	0.78 (0.02)	0.83 (0.13)	0.25 (0.45)	<b>0.28 (0.07)</b>	<b>0.84 (0.16)</b>	<b>0.31 (0.48)</b>	<b>0.64 (0.06)</b>	<b>0.78 (0.22)</b>	<b>0.19 (0.4)</b>	173.47 (6.45)	0.21 (0.04)	0.0 (0.0)	166.87 (6.16)	0.2 (0.04)	0.0 (0.0)
lncrna	md_density__70	0.46 (0.03)	0.42 (0.14)	0.0 (0.0)	0.77 (0.02)	0.56 (0.11)	0.0 (0.0)	0.26 (0.07)	0.31 (0.18)	0.0 (0.0)	0.62 (0.06)	0.34 (0.18)	0.0 (0.0)	187.24 (6.1)	0.34 (0.03)	0.0 (0.0)	181.83 (6.0)	0.35 (0.03)	0.0 (0.0)
lncrna	md_fixed__70	0.47 (0.03)	0.9 (0.07)	0.19 (0.4)	0.78 (0.02)	0.78 (0.14)	0.12 (0.34)	0.28 (0.07)	0.72 (0.19)	0.12 (0.34)	0.63 (0.06)	0.7 (0.22)	0.06 (0.25)	862.95 (49.35)	1.0 (0.0)	1.0 (0.0)	858.01 (50.0)	1.0 (0.0)	1.0 (0.0)
lncrna	md_random__70	0.46 (0.03)	0.55 (0.13)	0.0 (0.0)	0.78 (0.02)	0.82 (0.13)	0.12 (0.34)	0.27 (0.07)	0.49 (0.22)	0.0 (0.0)	0.63 (0.06)	0.57 (0.24)	0.0 (0.0)	172.31 (6.58)	0.2 (0.04)	0.0 (0.0)	167.12 (6.58)	0.22 (0.04)	0.0 (0.0)
lncrna	md_size__70	0.46 (0.03)	0.67 (0.13)	0.0 (0.0)	<b>0.78 (0.02)</b>	<b>0.9 (0.13)</b>	<b>0.38 (0.5)</b>	0.28 (0.07)	0.57 (0.25)	0.12 (0.34)	0.63 (0.06)	0.67 (0.26)	0.12 (0.34)	<b>142.15 (6.62)</b>	<b>0.08 (0.0)</b>	<b>0.0 (0.0)</b>	<b>137.01 (6.65)</b>	<b>0.08 (0.0)</b>	<b>0.0 (0.0)</b>
lncrna	mse_density__70	0.42 (0.02)	0.08 (0.0)	0.0 (0.0)	0.75 (0.02)	0.08 (0.0)	0.0 (0.0)	0.25 (0.06)	0.18 (0.1)	0.0 (0.0)	0.61 (0.05)	0.22 (0.21)	0.0 (0.0)	588.05 (22.12)	0.83 (0.0)	0.0 (0.0)	583.28 (22.52)	0.83 (0.0)	0.0 (0.0)
lncrna	mse_fixed__70	0.47 (0.03)	0.84 (0.07)	0.0 (0.0)	<b>0.78 (0.02)</b>	<b>0.77 (0.16)</b>	<b>0.12 (0.34)</b>	<b>0.29 (0.07)</b>	<b>0.86 (0.15)</b>	<b>0.25 (0.45)</b>	<b>0.64 (0.06)</b>	<b>0.91 (0.11)</b>	<b>0.5 (0.52)</b>	641.65 (29.18)	0.92 (0.0)	0.0 (0.0)	636.54 (29.74)	0.92 (0.0)	0.0 (0.0)
lncrna	mse_random__70	0.43 (0.02)	0.17 (0.0)	0.0 (0.0)	0.76 (0.02)	0.2 (0.05)	0.0 (0.0)	0.26 (0.06)	0.21 (0.13)	0.0 (0.0)	0.61 (0.05)	0.26 (0.19)	0.0 (0.0)	519.23 (18.49)	0.75 (0.0)	0.0 (0.0)	514.58 (18.91)	0.75 (0.0)	0.0 (0.0)
lncrna	mse_size__70	0.45 (0.02)	0.26 (0.02)	0.0 (0.0)	0.77 (0.02)	0.39 (0.13)	0.0 (0.0)	0.26 (0.06)	0.32 (0.17)	0.0 (0.0)	0.62 (0.05)	0.34 (0.14)	0.0 (0.0)	458.69 (20.77)	0.67 (0.0)	0.0 (0.0)	453.97 (21.11)	0.67 (0.0)	0.0 (0.0)
mirna	ad_density__70	0.14 (0.01)	0.8 (0.16)	0.19 (0.4)	0.61 (0.01)	0.73 (0.15)	0.0 (0.0)	0.08 (0.0)	0.7 (0.2)	0.06 (0.25)	<b>0.54 (0.01)</b>	<b>0.72 (0.19)</b>	<b>0.12 (0.34)</b>	2060.52 (304.53)	0.49 (0.07)	0.0 (0.0)	2024.25 (307.59)	0.49 (0.07)	0.0 (0.0)
mirna	ad_fixed__70	<b>0.14 (0.01)</b>	<b>0.87 (0.11)</b>	<b>0.25 (0.45)</b>	0.61 (0.01)	0.77 (0.13)	0.06 (0.25)	0.08 (0.0)	0.72 (0.26)	0.12 (0.34)	<b>0.54 (0.01)</b>	<b>0.73 (0.28)</b>	<b>0.31 (0.48)</b>	2014.62 (230.97)	0.47 (0.04)	0.0 (0.0)	1977.88 (238.05)	0.47 (0.04)	0.0 (0.0)
mirna	ad_random__70	0.14 (0.01)	0.66 (0.16)	0.0 (0.0)	0.6 (0.01)	0.48 (0.17)	0.0 (0.0)	0.08 (0.0)	0.45 (0.26)	0.0 (0.0)	0.54 (0.01)	0.55 (0.31)	0.06 (0.25)	2248.74 (278.5)	0.54 (0.07)	0.0 (0.0)	2213.77 (286.32)	0.54 (0.07)	0.0 (0.0)
mirna	ad_size__70	<b>0.14 (0.01)</b>	<b>0.83 (0.15)</b>	<b>0.31 (0.48)</b>	0.61 (0.0)	0.91 (0.09)	0.25 (0.45)	<b>0.08 (0.0)</b>	<b>0.78 (0.24)</b>	<b>0.31 (0.48)</b>	<b>0.54 (0.01)</b>	<b>0.79 (0.16)</b>	<b>0.19 (0.4)</b>	1364.96 (115.07)	0.28 (0.07)	0.0 (0.0)	1328.83 (121.21)	0.28 (0.07)	0.0 (0.0)
mirna	md_density__70	0.13 (0.0)	0.24 (0.04)	0.0 (0.0)	0.6 (0.0)	0.47 (0.17)	0.0 (0.0)	0.08 (0.0)	0.17 (0.12)	0.0 (0.0)	0.53 (0.0)	0.21 (0.22)	0.0 (0.0)	1359.98 (21.37)	0.28 (0.04)	0.0 (0.0)	1327.07 (24.32)	0.28 (0.04)	0.0 (0.0)
mirna	md_fixed__70	<b>0.14 (0.0)</b>	<b>0.82 (0.12)</b>	<b>0.06 (0.25)</b>	0.6 (0.0)	0.53 (0.14)	0.0 (0.0)	0.08 (0.0)	0.43 (0.21)	0.0 (0.0)	0.54 (0.01)	0.45 (0.21)	0.0 (0.0)	4064.68 (397.68)	0.67 (0.0)	0.0 (0.0)	4032.16 (403.81)	0.67 (0.0)	0.0 (0.0)
mirna	md_random__70	0.13 (0.0)	0.41 (0.12)	0.0 (0.0)	0.61 (0.0)	0.69 (0.18)	0.0 (0.0)	0.08 (0.0)	0.61 (0.22)	0.0 (0.0)	0.54 (0.01)	0.62 (0.21)	0.0 (0.0)	1297.06 (41.03)	0.19 (0.04)	0.0 (0.0)	1261.38 (42.51)	0.19 (0.04)	0.0 (0.0)
mirna	md_size__70	0.13 (0.0)	0.61 (0.21)	0.19 (0.4)	<b>0.61 (0.0)</b>	<b>0.93 (0.12)</b>	<b>0.69 (0.48)</b>	<b>0.08 (0.0)</b>	<b>0.8 (0.23)</b>	<b>0.44 (0.51)</b>	<b>0.54 (0.01)</b>	<b>0.78 (0.2)</b>	<b>0.25 (0.45)</b>	<b>1108.21 (43.61)</b>	<b>0.08 (0.0)</b>	<b>0.0 (0.0)</b>	<b>1071.4 (48.64)</b>	<b>0.08 (0.0)</b>	<b>0.0 (0.0)</b>
mirna	mse_density__70	0.12 (0.0)	0.08 (0.0)	0.0 (0.0)	0.59 (0.0)	0.09 (0.02)	0.0 (0.0)	0.08 (0.0)	0.38 (0.22)	0.0 (0.0)	0.53 (0.01)	0.33 (0.19)	0.0 (0.0)	7266.41 (243.42)	0.86 (0.04)	0.0 (0.0)	7243.2 (244.72)	0.86 (0.04)	0.0 (0.0)
mirna	mse_fixed__70	0.14 (0.01)	0.62 (0.11)	0.0 (0.0)	0.6 (0.0)	0.34 (0.12)	0.0 (0.0)	0.08 (0.0)	0.4 (0.23)	0.0 (0.0)	0.53 (0.01)	0.32 (0.2)	0.0 (0.0)	8616.59 (397.14)	1.0 (0.0)	1.0 (0.0)	8579.84 (408.48)	1.0 (0.0)	1.0 (0.0)
mirna	mse_random__70	0.13 (0.0)	0.18 (0.03)	0.0 (0.0)	0.6 (0.0)	0.17 (0.05)	0.0 (0.0)	0.08 (0.0)	0.38 (0.25)	0.0 (0.0)	0.53 (0.01)	0.36 (0.22)	0.0 (0.0)	7334.97 (189.24)	0.89 (0.04)	0.0 (0.0)	7311.64 (190.17)	0.89 (0.04)	0.0 (0.0)
mirna	mse_size__70	0.13 (0.0)	0.39 (0.05)	0.0 (0.0)	0.6 (0.0)	0.41 (0.13)	0.0 (0.0)	0.08 (0.0)	0.68 (0.19)	0.06 (0.25)	0.54 (0.01)	0.62 (0.23)	0.06 (0.25)	5601.52 (154.46)	0.75 (0.0)	0.0 (0.0)	5578.81 (156.05)	0.75 (0.0)	0.0 (0.0)
nuclear_receptors	ad_density__70	0.2 (0.05)	0.47 (0.3)	0.12 (0.34)	0.61 (0.05)	0.6 (0.31)	0.25 (0.45)	0.14 (0.1)	0.57 (0.24)	0.06 (0.25)	0.57 (0.14)	0.56 (0.22)	0.06 (0.25)	0.95 (0.1)	0.44 (0.09)	0.0 (0.0)	0.82 (0.09)	0.44 (0.09)	0.0 (0.0)
nuclear_receptors	ad_fixed__70	0.2 (0.04)	0.54 (0.27)	0.06 (0.25)	<b>0.61 (0.05)</b>	<b>0.65 (0.34)</b>	<b>0.12 (0.34)</b>	0.14 (0.1)	0.65 (0.23)	0.06 (0.25)	0.59 (0.14)	0.62 (0.22)	0.0 (0.0)	0.65 (0.06)	0.2 (0.06)	0.0 (0.0)	0.5 (0.05)	0.19 (0.07)	0.0 (0.0)
nuclear_receptors	ad_random__70	0.2 (0.05)	0.53 (0.29)	0.06 (0.25)	<b>0.61 (0.04)</b>	<b>0.61 (0.31)</b>	<b>0.12 (0.34)</b>	0.15 (0.1)	0.63 (0.29)	0.19 (0.4)	0.6 (0.14)	0.67 (0.28)	0.06 (0.25)	0.94 (0.11)	0.42 (0.07)	0.0 (0.0)	0.81 (0.1)	0.41 (0.08)	0.0 (0.0)
nuclear_receptors	ad_size__70	0.2 (0.05)	0.58 (0.29)	0.06 (0.25)	<b>0.61 (0.05)</b>	<b>0.67 (0.27)</b>	<b>0.06 (0.25)</b>	0.14 (0.09)	0.57 (0.2)	0.0 (0.0)	0.59 (0.16)	0.61 (0.24)	0.06 (0.25)	0.94 (0.09)	0.44 (0.11)	0.0 (0.0)	0.81 (0.08)	0.43 (0.09)	0.0 (0.0)
nuclear_receptors	md_density__70	0.2 (0.05)	0.55 (0.31)	0.12 (0.34)	0.6 (0.05)	0.42 (0.24)	0.0 (0.0)	0.14 (0.12)	0.47 (0.33)	0.12 (0.34)	0.55 (0.19)	0.42 (0.32)	0.12 (0.34)	1.37 (0.13)	0.95 (0.04)	0.44 (0.51)	1.25 (0.11)	0.94 (0.04)	0.31 (0.48)
nuclear_receptors	md_fixed__70	0.21 (0.04)	0.65 (0.22)	0.06 (0.25)	<b>0.6 (0.04)</b>	<b>0.57 (0.21)</b>	<b>0.0 (0.0)</b>	0.13 (0.09)	0.46 (0.23)	0.0 (0.0)	0.55 (0.16)	0.39 (0.23)	0.0 (0.0)	<b>0.61 (0.05)</b>	<b>0.15 (0.06)</b>	<b>0.0 (0.0)</b>	<b>0.49 (0.04)</b>	<b>0.15 (0.06)</b>	<b>0.0 (0.0)</b>
nuclear_receptors	md_random__70	0.2 (0.04)	0.58 (0.32)	0.12 (0.34)	<b>0.6 (0.06)</b>	<b>0.49 (0.3)</b>	<b>0.12 (0.34)</b>	0.15 (0.1)	0.62 (0.27)	0.12 (0.34)	0.6 (0.14)	0.61 (0.29)	0.19 (0.4)	1.27 (0.18)	0.82 (0.13)	0.12 (0.34)	1.14 (0.18)	0.82 (0.14)	0.19 (0.4)
nuclear_receptors	md_size__70	0.19 (0.04)	0.52 (0.28)	0.0 (0.0)	0.6 (0.05)	0.47 (0.33)	0.06 (0.25)	0.14 (0.1)	0.58 (0.29)	0.12 (0.34)	0.58 (0.13)	0.57 (0.33)	0.06 (0.25)	1.09 (0.13)	0.65 (0.14)	0.0 (0.0)	0.97 (0.12)	0.65 (0.14)	0.0 (0.0)
nuclear_receptors	mse_density__70	0.19 (0.04)	0.44 (0.3)	0.06 (0.25)	0.59 (0.05)	0.32 (0.17)	0.0 (0.0)	0.12 (0.07)	0.55 (0.3)	0.12 (0.34)	0.55 (0.16)	0.4 (0.35)	0.12 (0.34)	1.36 (0.15)	0.92 (0.08)	0.44 (0.51)	1.24 (0.15)	0.92 (0.08)	0.5 (0.52)
nuclear_receptors	mse_fixed__70	0.2 (0.05)	0.49 (0.3)	0.12 (0.34)	0.61 (0.04)	0.6 (0.31)	0.12 (0.34)	0.11 (0.07)	0.41 (0.28)	0.0 (0.0)	0.57 (0.11)	0.51 (0.33)	0.12 (0.34)	<b>0.61 (0.05)</b>	<b>0.15 (0.07)</b>	<b>0.0 (0.0)</b>	<b>0.49 (0.04)</b>	<b>0.17 (0.07)</b>	<b>0.0 (0.0)</b>
nuclear_receptors	mse_random__70	0.2 (0.05)	0.61 (0.31)	0.06 (0.25)	0.6 (0.05)	0.46 (0.23)	0.0 (0.0)	0.14 (0.09)	0.54 (0.26)	0.06 (0.25)	0.59 (0.18)	0.58 (0.29)	0.06 (0.25)	1.15 (0.09)	0.73 (0.07)	0.0 (0.0)	1.02 (0.08)	0.74 (0.06)	0.0 (0.0)
nuclear_receptors	mse_size__70	0.2 (0.05)	0.54 (0.29)	0.12 (0.34)	<b>0.61 (0.06)</b>	<b>0.62 (0.28)</b>	<b>0.12 (0.34)</b>	0.13 (0.08)	0.45 (0.22)	0.0 (0.0)	0.58 (0.16)	0.56 (0.27)	0.0 (0.0)	1.09 (0.08)	0.65 (0.07)	0.0 (0.0)	0.96 (0.07)	0.64 (0.06)	0.0 (0.0)
srn	ad_density__70	0.05 (0.01)	0.28 (0.15)	0.0 (0.0)	0.55 (0.01)	0.44 (0.25)	0.0 (0.0)	0.02 (0.01)	0.53 (0.23)	0.0 (0.0)	0.52 (0.02)	0.53 (0.29)	0.06 (0.25)	592.01 (18.17)	0.42 (0.06)	0.0 (0.0)	585.85 (19.49)	0.42 (0.06)	0.0 (0.0)
srn	ad_fixed__70	0.05 (0.01)	0.3 (0.2)	0.0 (0.0)	0.55 (0.01)	0.53 (0.23)	0.06 (0.25)	0.02 (0.01)	0.57 (0.31)	0.12 (0.34)	0.52 (0.02)	0.49 (0.31)	0.12 (0.34)	573.66 (33.68)	0.37 (0.04)	0.0 (0.0)	567.89 (34.47)	0.38 (0.04)	0.0 (0.0)
srn	ad_random__70	0.05 (0.01)	0.33 (0.19)	0.0 (0.0)	0.56 (0.01)	0.71 (0.34)	0.38 (0.5)	0.02 (0.01)	0.41 (0.21)	0.0 (0.0)	0.53 (0.02)	0.58 (0.26)	0.0 (0.0)	595.52 (28.89)	0.46 (0.07)	0.0 (0.0)	589.35 (30.52)	0.45 (0.07)	0.0 (0.0)
srn	ad_size__70	0.05 (0.01)	0.4 (0.15)	0.0 (0.0)	0.55 (0.01)	0.53 (0.29)	0.0 (0.0)	0.02 (0.01)	0.51 (0.33)	0.12 (0.34)	0.52 (0.02)	0.51 (0.31)	0.12 (0.34)	454.1 (24.58)	0.16 (0.02)	0.0 (0.0)	446.66 (26.16)	0.16 (0.02)	0.0 (0.0)
srn	md_density__70	<b>0.06 (0.01)</b>	<b>0.85 (0.23)</b>	<b>0.5 (0.52)</b>	0.55 (0.01)	0.59 (0.34)	0.12 (0.34)	0.02 (0.01)	0.65 (0.27)	0.0 (0.0)	0.53 (0.02)	0.65 (0.32)	0.19 (0.4)	1320.23 (84.91)	0.75 (0.0)	0.0 (0.0)	1314.23 (85.15)	0.75 (0.0)	0.0 (0.0)
srn	md_fixed__70	0.05 (0.01)	0.31 (0.23)	0.0 (0.0)	0.55 (0.01)	0.58 (0.27)	0.12 (0.34)	0.02 (0.01)	0.41 (0.27)	0.0 (0.0)	0.52 (0.01)	0.46 (0.34)	0.06 (0.25)	4254.99 (327.78)	1.0 (0.0)	1.0 (0.0)	4248.64 (328.95)	1.0 (0.0)	1.0 (0.0)
srn	md_random__70	<b>0.06 (0.01)</b>	<b>0.77 (0.2)</b>	<b>0.19 (0.4)</b>	0.56 (0.01)	0.66 (0.31)	0.25 (0.45)	0.02 (0.01)	0.64 (0.25)	0.12 (0.34)	0.52 (0.01)	0.59 (0.23)	0.0 (0.0)	2526.1 (189.15)	0.85 (0.03)	0.0 (0.0)	2520.61 (189.44)	0.85 (0.03)	0.0 (0.0)
srn	md_size__70	<b>0.06 (0.01)</b>	<b>0.75 (0.14)</b>	<b>0.06 (0.25)</b>	0.55 (0.01)	0.42 (0.3)	0.0 (0.0)	0.02 (0.01)	0.66 (0.28)	0.19 (0.4)	0.53 (0.02)	0.62 (0.27)	0.06 (0.25)	850.84 (49.66)	0.65 (0.03)	0.0 (0.0)	845.2 (50.12)	0.65 (0.03)	0.0 (0.0)
srn	mse_density__70	0.05 (0.01)	0.63 (0.13)	0.0 (0.0)	0.55 (0.01)	0.49 (0.32)	0.0 (0.0)	0.02 (0.01)	0.59 (0.31)	0.19 (0.4)	0.52 (0.01)	0.57 (0.25)	0.06 (0.25)	504.15 (26.64)	0.25 (0.0)	0.0 (0.0)	498.98 (27.12)	0.25 (0.0)	0.0 (0.0)
srn	mse_fixed__70	0.05 (0.01)	0.34 (0.25)	0.06 (0.25)	0.55 (0.01)	0.59 (0.24)	0.0 (0.0)	0.02 (0.01)	0.43 (0.27)	0.06 (0.25)	0.52 (0.01)	0.39 (0.25)	0.0 (0.0)	2700.09 (356.73)	0.9 (0.03)	0.0 (0.0)	2692.83 (357.73)	0.9 (0.03)	0.0 (0.0)
