dataset	estimator	LT+TL_average_precision	LT+TL_average_precision_rank	LT+TL_average_precision_victories	LT+TL_roc_auc	LT+TL_roc_auc_rank	LT+TL_roc_auc_victories	TT_average_precision	TT_average_precision_rank	TT_average_precision_victories	TT_roc_auc	TT_roc_auc_rank	TT_roc_auc_victories	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories
ion_channels	md_density__90	<b>0.17 (0.02)</b>	<b>0.83 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.01)</b>	<b>0.86 (0.03)</b>	<b>0.0 (0.0)</b>	0.11 (0.06)	0.61 (0.29)	0.0 (0.0)	<b>0.59 (0.05)</b>	<b>0.62 (0.25)</b>	<b>0.0 (0.0)</b>	2.62 (0.44)	0.39 (0.11)	0.0 (0.0)	1.95 (0.36)	0.46 (0.11)	0.0 (0.0)
ion_channels	md_fixed__90	<b>0.17 (0.02)</b>	<b>0.83 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.01)</b>	<b>0.86 (0.03)</b>	<b>0.0 (0.0)</b>	0.11 (0.06)	0.61 (0.29)	0.0 (0.0)	<b>0.59 (0.05)</b>	<b>0.62 (0.25)</b>	<b>0.0 (0.0)</b>	2.88 (0.26)	0.59 (0.1)	0.0 (0.0)	2.07 (0.12)	0.5 (0.1)	0.0 (0.0)
ion_channels	md_random__90	<b>0.17 (0.02)</b>	<b>0.83 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.01)</b>	<b>0.86 (0.03)</b>	<b>0.0 (0.0)</b>	0.11 (0.06)	0.61 (0.29)	0.0 (0.0)	<b>0.59 (0.05)</b>	<b>0.62 (0.25)</b>	<b>0.0 (0.0)</b>	2.76 (0.56)	0.59 (0.3)	0.12 (0.34)	2.06 (0.43)	0.53 (0.18)	0.0 (0.0)
ion_channels	md_size__90	<b>0.17 (0.02)</b>	<b>0.83 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.01)</b>	<b>0.86 (0.03)</b>	<b>0.0 (0.0)</b>	0.11 (0.06)	0.61 (0.29)	0.0 (0.0)	<b>0.59 (0.05)</b>	<b>0.62 (0.25)</b>	<b>0.0 (0.0)</b>	2.83 (0.3)	0.58 (0.12)	0.0 (0.0)	2.12 (0.24)	0.58 (0.1)	0.0 (0.0)
ion_channels	mse_density__90	0.15 (0.02)	0.36 (0.14)	0.0 (0.0)	0.61 (0.01)	0.39 (0.13)	0.0 (0.0)	0.11 (0.06)	0.55 (0.21)	0.0 (0.0)	<b>0.59 (0.05)</b>	<b>0.61 (0.25)</b>	<b>0.0 (0.0)</b>	3.15 (0.16)	0.84 (0.17)	0.31 (0.48)	2.52 (0.12)	0.88 (0.11)	0.25 (0.45)
ion_channels	mse_fixed__90	0.15 (0.02)	0.36 (0.14)	0.0 (0.0)	0.61 (0.01)	0.39 (0.13)	0.0 (0.0)	0.11 (0.06)	0.55 (0.21)	0.0 (0.0)	<b>0.59 (0.05)</b>	<b>0.61 (0.25)</b>	<b>0.0 (0.0)</b>	3.17 (0.12)	0.88 (0.1)	0.25 (0.45)	2.52 (0.09)	0.9 (0.09)	0.31 (0.48)
ion_channels	mse_random__90	0.15 (0.02)	0.36 (0.14)	0.0 (0.0)	0.61 (0.01)	0.39 (0.13)	0.0 (0.0)	0.11 (0.06)	0.55 (0.21)	0.0 (0.0)	<b>0.59 (0.05)</b>	<b>0.61 (0.25)</b>	<b>0.0 (0.0)</b>	3.15 (0.14)	0.81 (0.13)	0.12 (0.34)	2.51 (0.1)	0.86 (0.09)	0.19 (0.4)
ion_channels	mse_size__90	0.15 (0.02)	0.36 (0.14)	0.0 (0.0)	0.61 (0.01)	0.39 (0.13)	0.0 (0.0)	0.11 (0.06)	0.55 (0.21)	0.0 (0.0)	<b>0.59 (0.05)</b>	<b>0.61 (0.25)</b>	<b>0.0 (0.0)</b>	3.15 (0.13)	0.82 (0.15)	0.19 (0.4)	2.5 (0.09)	0.85 (0.11)	0.25 (0.45)
kiba	ad_density__90	0.37 (0.01)	0.27 (0.1)	0.0 (0.0)	0.71 (0.01)	0.26 (0.04)	0.0 (0.0)	0.25 (0.01)	0.17 (0.0)	0.0 (0.0)	0.6 (0.02)	0.17 (0.0)	0.0 (0.0)	424.23 (77.26)	0.2 (0.07)	0.0 (0.0)	404.23 (80.58)	0.2 (0.07)	0.0 (0.0)
kiba	ad_fixed__90	0.36 (0.01)	0.08 (0.0)	0.0 (0.0)	0.7 (0.01)	0.1 (0.06)	0.0 (0.0)	<b>0.26 (0.01)</b>	<b>0.6 (0.28)</b>	<b>0.25 (0.45)</b>	0.61 (0.01)	0.42 (0.19)	0.06 (0.25)	1960.52 (258.26)	0.33 (0.0)	0.0 (0.0)	1942.75 (261.88)	0.33 (0.0)	0.0 (0.0)
kiba	ad_random__90	0.37 (0.01)	0.27 (0.07)	0.0 (0.0)	0.71 (0.01)	0.24 (0.04)	0.0 (0.0)	0.25 (0.01)	0.17 (0.0)	0.0 (0.0)	0.6 (0.02)	0.17 (0.0)	0.0 (0.0)	<b>386.6 (70.11)</b>	<b>0.16 (0.06)</b>	<b>0.0 (0.0)</b>	<b>369.25 (72.35)</b>	<b>0.16 (0.06)</b>	<b>0.0 (0.0)</b>
kiba	ad_size__90	0.37 (0.01)	0.27 (0.1)	0.0 (0.0)	0.71 (0.01)	0.23 (0.03)	0.0 (0.0)	0.25 (0.01)	0.17 (0.0)	0.0 (0.0)	0.6 (0.02)	0.17 (0.0)	0.0 (0.0)	<b>383.28 (60.92)</b>	<b>0.14 (0.06)</b>	<b>0.0 (0.0)</b>	<b>365.15 (64.26)</b>	<b>0.14 (0.06)</b>	<b>0.0 (0.0)</b>
kiba	md_density__90	<b>0.38 (0.01)</b>	<b>0.88 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.72 (0.01)</b>	<b>0.88 (0.01)</b>	<b>0.0 (0.0)</b>	<b>0.26 (0.01)</b>	<b>0.65 (0.19)</b>	<b>0.0 (0.0)</b>	0.62 (0.02)	0.65 (0.17)	0.0 (0.0)	10326.44 (861.64)	0.43 (0.03)	0.0 (0.0)	10307.37 (865.62)	0.43 (0.03)	0.0 (0.0)
kiba	md_fixed__90	<b>0.38 (0.01)</b>	<b>0.88 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.72 (0.01)</b>	<b>0.87 (0.03)</b>	<b>0.0 (0.0)</b>	<b>0.26 (0.01)</b>	<b>0.65 (0.19)</b>	<b>0.0 (0.0)</b>	0.62 (0.02)	0.65 (0.17)	0.0 (0.0)	11186.99 (1341.67)	0.54 (0.06)	0.0 (0.0)	11167.29 (1345.38)	0.54 (0.06)	0.0 (0.0)
kiba	md_random__90	<b>0.38 (0.01)</b>	<b>0.88 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.72 (0.01)</b>	<b>0.88 (0.01)</b>	<b>0.0 (0.0)</b>	<b>0.26 (0.01)</b>	<b>0.65 (0.19)</b>	<b>0.0 (0.0)</b>	0.62 (0.02)	0.65 (0.17)	0.0 (0.0)	17968.62 (4013.44)	0.96 (0.15)	0.94 (0.25)	17943.74 (4014.0)	0.96 (0.15)	0.94 (0.25)
kiba	md_size__90	<b>0.38 (0.01)</b>	<b>0.88 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.72 (0.01)</b>	<b>0.88 (0.01)</b>	<b>0.0 (0.0)</b>	<b>0.26 (0.01)</b>	<b>0.65 (0.19)</b>	<b>0.0 (0.0)</b>	0.62 (0.02)	0.65 (0.17)	0.0 (0.0)	11230.51 (913.28)	0.56 (0.09)	0.0 (0.0)	11211.39 (917.33)	0.56 (0.09)	0.0 (0.0)
kiba	mse_density__90	0.37 (0.01)	0.54 (0.08)	0.0 (0.0)	0.72 (0.01)	0.53 (0.04)	0.0 (0.0)	<b>0.26 (0.01)</b>	<b>0.7 (0.19)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.02)</b>	<b>0.74 (0.17)</b>	<b>0.0 (0.0)</b>	14608.59 (1051.84)	0.84 (0.11)	0.0 (0.0)	14584.76 (1061.26)	0.84 (0.11)	0.0 (0.0)
kiba	mse_fixed__90	0.37 (0.01)	0.51 (0.08)	0.0 (0.0)	0.72 (0.01)	0.53 (0.06)	0.0 (0.0)	<b>0.26 (0.01)</b>	<b>0.7 (0.19)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.02)</b>	<b>0.74 (0.17)</b>	<b>0.0 (0.0)</b>	14314.87 (1137.1)	0.77 (0.09)	0.0 (0.0)	14291.34 (1144.29)	0.77 (0.09)	0.0 (0.0)
kiba	mse_random__90	0.37 (0.01)	0.53 (0.07)	0.0 (0.0)	0.72 (0.01)	0.55 (0.03)	0.0 (0.0)	<b>0.26 (0.01)</b>	<b>0.7 (0.19)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.02)</b>	<b>0.74 (0.17)</b>	<b>0.0 (0.0)</b>	14324.3 (1225.44)	0.79 (0.11)	0.06 (0.25)	14300.55 (1232.97)	0.79 (0.11)	0.06 (0.25)
kiba	mse_size__90	0.37 (0.01)	0.53 (0.07)	0.0 (0.0)	0.72 (0.01)	0.55 (0.03)	0.0 (0.0)	<b>0.26 (0.01)</b>	<b>0.7 (0.19)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.02)</b>	<b>0.74 (0.17)</b>	<b>0.0 (0.0)</b>	14376.73 (1046.72)	0.78 (0.08)	0.0 (0.0)	14353.5 (1054.25)	0.78 (0.08)	0.0 (0.0)
lncrna	ad_density__90	0.35 (0.02)	0.27 (0.08)	0.0 (0.0)	0.67 (0.01)	0.25 (0.0)	0.0 (0.0)	<b>0.23 (0.05)</b>	<b>0.5 (0.23)</b>	<b>0.0 (0.0)</b>	0.58 (0.03)	0.41 (0.22)	0.0 (0.0)	139.99 (5.21)	0.24 (0.03)	0.0 (0.0)	132.49 (5.55)	0.23 (0.05)	0.0 (0.0)
lncrna	ad_fixed__90	0.29 (0.02)	0.08 (0.0)	0.0 (0.0)	0.63 (0.02)	0.08 (0.0)	0.0 (0.0)	0.2 (0.03)	0.1 (0.08)	0.0 (0.0)	0.54 (0.02)	0.1 (0.06)	0.0 (0.0)	161.07 (8.3)	0.33 (0.0)	0.0 (0.0)	154.18 (9.07)	0.33 (0.0)	0.0 (0.0)
lncrna	ad_random__90	0.35 (0.02)	0.27 (0.08)	0.0 (0.0)	0.67 (0.01)	0.25 (0.0)	0.0 (0.0)	<b>0.23 (0.05)</b>	<b>0.5 (0.23)</b>	<b>0.0 (0.0)</b>	0.58 (0.03)	0.41 (0.22)	0.0 (0.0)	132.45 (4.38)	0.15 (0.05)	0.0 (0.0)	<b>124.91 (5.03)</b>	<b>0.13 (0.06)</b>	<b>0.0 (0.0)</b>
lncrna	ad_size__90	0.35 (0.02)	0.27 (0.08)	0.0 (0.0)	0.67 (0.01)	0.25 (0.0)	0.0 (0.0)	<b>0.23 (0.05)</b>	<b>0.5 (0.23)</b>	<b>0.0 (0.0)</b>	0.58 (0.03)	0.41 (0.22)	0.0 (0.0)	<b>131.4 (3.95)</b>	<b>0.11 (0.04)</b>	<b>0.0 (0.0)</b>	<b>125.02 (4.54)</b>	<b>0.14 (0.04)</b>	<b>0.0 (0.0)</b>
lncrna	md_density__90	<b>0.37 (0.02)</b>	<b>0.79 (0.15)</b>	<b>0.0 (0.0)</b>	<b>0.69 (0.02)</b>	<b>0.85 (0.08)</b>	<b>0.0 (0.0)</b>	<b>0.23 (0.05)</b>	<b>0.61 (0.25)</b>	<b>0.0 (0.0)</b>	<b>0.58 (0.04)</b>	<b>0.66 (0.24)</b>	<b>0.0 (0.0)</b>	592.71 (15.74)	0.79 (0.04)	0.0 (0.0)	587.19 (16.37)	0.79 (0.04)	0.0 (0.0)
lncrna	md_fixed__90	<b>0.37 (0.02)</b>	<b>0.79 (0.15)</b>	<b>0.0 (0.0)</b>	<b>0.69 (0.02)</b>	<b>0.85 (0.08)</b>	<b>0.0 (0.0)</b>	<b>0.23 (0.05)</b>	<b>0.61 (0.25)</b>	<b>0.0 (0.0)</b>	<b>0.58 (0.04)</b>	<b>0.66 (0.24)</b>	<b>0.0 (0.0)</b>	650.32 (26.87)	0.95 (0.04)	0.44 (0.51)	644.57 (27.44)	0.95 (0.04)	0.38 (0.5)
lncrna	md_random__90	<b>0.37 (0.02)</b>	<b>0.79 (0.15)</b>	<b>0.0 (0.0)</b>	<b>0.69 (0.02)</b>	<b>0.85 (0.08)</b>	<b>0.0 (0.0)</b>	<b>0.23 (0.05)</b>	<b>0.61 (0.25)</b>	<b>0.0 (0.0)</b>	<b>0.58 (0.04)</b>	<b>0.66 (0.24)</b>	<b>0.0 (0.0)</b>	593.12 (16.39)	0.79 (0.04)	0.0 (0.0)	587.58 (17.19)	0.79 (0.04)	0.0 (0.0)
lncrna	md_size__90	<b>0.37 (0.02)</b>	<b>0.79 (0.15)</b>	<b>0.0 (0.0)</b>	<b>0.69 (0.02)</b>	<b>0.85 (0.08)</b>	<b>0.0 (0.0)</b>	<b>0.23 (0.05)</b>	<b>0.61 (0.25)</b>	<b>0.0 (0.0)</b>	<b>0.58 (0.04)</b>	<b>0.66 (0.24)</b>	<b>0.0 (0.0)</b>	649.06 (27.45)	0.96 (0.04)	0.56 (0.51)	643.4 (27.91)	0.97 (0.04)	0.62 (0.5)
lncrna	mse_density__90	0.36 (0.01)	0.61 (0.17)	0.0 (0.0)	0.68 (0.01)	0.56 (0.08)	0.0 (0.0)	<b>0.23 (0.05)</b>	<b>0.61 (0.28)</b>	<b>0.0 (0.0)</b>	<b>0.58 (0.03)</b>	<b>0.63 (0.25)</b>	<b>0.0 (0.0)</b>	410.12 (12.37)	0.53 (0.1)	0.0 (0.0)	404.02 (13.52)	0.52 (0.09)	0.0 (0.0)
lncrna	mse_fixed__90	0.36 (0.01)	0.61 (0.17)	0.0 (0.0)	0.68 (0.01)	0.56 (0.08)	0.0 (0.0)	<b>0.23 (0.05)</b>	<b>0.61 (0.28)</b>	<b>0.0 (0.0)</b>	<b>0.58 (0.03)</b>	<b>0.63 (0.25)</b>	<b>0.0 (0.0)</b>	410.43 (12.15)	0.53 (0.08)	0.0 (0.0)	404.41 (13.29)	0.53 (0.08)	0.0 (0.0)
lncrna	mse_random__90	0.36 (0.01)	0.61 (0.17)	0.0 (0.0)	0.68 (0.01)	0.56 (0.08)	0.0 (0.0)	<b>0.23 (0.05)</b>	<b>0.61 (0.28)</b>	<b>0.0 (0.0)</b>	<b>0.58 (0.03)</b>	<b>0.63 (0.25)</b>	<b>0.0 (0.0)</b>	411.49 (13.01)	0.56 (0.12)	0.0 (0.0)	405.69 (13.83)	0.57 (0.11)	0.0 (0.0)
lncrna	mse_size__90	0.36 (0.01)	0.61 (0.17)	0.0 (0.0)	0.68 (0.01)	0.56 (0.08)	0.0 (0.0)	<b>0.23 (0.05)</b>	<b>0.61 (0.28)</b>	<b>0.0 (0.0)</b>	<b>0.58 (0.03)</b>	<b>0.63 (0.25)</b>	<b>0.0 (0.0)</b>	411.18 (10.61)	0.54 (0.09)	0.0 (0.0)	405.33 (11.65)	0.54 (0.1)	0.0 (0.0)
mirna	ad_density__90	0.1 (0.0)	0.49 (0.23)	0.0 (0.0)	0.55 (0.0)	0.4 (0.15)	0.0 (0.0)	0.07 (0.0)	0.52 (0.31)	0.0 (0.0)	0.51 (0.0)	0.44 (0.3)	0.0 (0.0)	478.2 (52.64)	0.2 (0.07)	0.0 (0.0)	437.65 (58.75)	0.2 (0.06)	0.0 (0.0)
mirna	ad_fixed__90	<b>0.1 (0.0)</b>	<b>0.8 (0.16)</b>	<b>0.38 (0.5)</b>	<b>0.55 (0.0)</b>	<b>0.98 (0.08)</b>	<b>0.94 (0.25)</b>	<b>0.08 (0.0)</b>	<b>0.98 (0.08)</b>	<b>0.94 (0.25)</b>	<b>0.52 (0.01)</b>	<b>0.98 (0.08)</b>	<b>0.94 (0.25)</b>	1478.18 (193.05)	0.33 (0.0)	0.0 (0.0)	1442.07 (200.04)	0.33 (0.0)	0.0 (0.0)
mirna	ad_random__90	0.1 (0.0)	0.48 (0.23)	0.0 (0.0)	0.55 (0.0)	0.4 (0.17)	0.0 (0.0)	0.07 (0.0)	0.52 (0.31)	0.0 (0.0)	0.51 (0.0)	0.44 (0.3)	0.0 (0.0)	450.2 (37.12)	0.19 (0.06)	0.0 (0.0)	410.0 (44.28)	0.19 (0.06)	0.0 (0.0)
mirna	ad_size__90	0.1 (0.0)	0.48 (0.25)	0.0 (0.0)	0.55 (0.0)	0.39 (0.18)	0.0 (0.0)	0.07 (0.0)	0.52 (0.31)	0.0 (0.0)	0.51 (0.0)	0.44 (0.3)	0.0 (0.0)	<b>445.27 (40.44)</b>	<b>0.11 (0.05)</b>	<b>0.0 (0.0)</b>	<b>402.97 (48.35)</b>	<b>0.11 (0.05)</b>	<b>0.0 (0.0)</b>
mirna	md_density__90	<b>0.1 (0.0)</b>	<b>0.78 (0.17)</b>	<b>0.06 (0.25)</b>	0.55 (0.0)	0.8 (0.06)	0.0 (0.0)	0.07 (0.0)	0.55 (0.24)	0.0 (0.0)	0.51 (0.0)	0.6 (0.24)	0.0 (0.0)	2919.24 (225.17)	0.54 (0.07)	0.0 (0.0)	2888.11 (232.39)	0.54 (0.07)	0.0 (0.0)
mirna	md_fixed__90	<b>0.1 (0.0)</b>	<b>0.76 (0.19)</b>	<b>0.0 (0.0)</b>	0.55 (0.0)	0.8 (0.03)	0.0 (0.0)	0.07 (0.0)	0.55 (0.24)	0.0 (0.0)	0.51 (0.0)	0.6 (0.24)	0.0 (0.0)	3187.61 (286.45)	0.59 (0.08)	0.0 (0.0)	3154.95 (291.09)	0.59 (0.08)	0.0 (0.0)
mirna	md_random__90	<b>0.1 (0.0)</b>	<b>0.76 (0.21)</b>	<b>0.0 (0.0)</b>	0.55 (0.0)	0.79 (0.04)	0.0 (0.0)	0.07 (0.0)	0.55 (0.24)	0.0 (0.0)	0.51 (0.0)	0.6 (0.24)	0.0 (0.0)	2914.78 (197.38)	0.48 (0.06)	0.0 (0.0)	2883.47 (204.56)	0.48 (0.06)	0.0 (0.0)
mirna	md_size__90	<b>0.1 (0.0)</b>	<b>0.79 (0.21)</b>	<b>0.12 (0.34)</b>	0.55 (0.0)	0.79 (0.06)	0.0 (0.0)	0.07 (0.0)	0.55 (0.24)	0.0 (0.0)	0.51 (0.0)	0.6 (0.24)	0.0 (0.0)	3209.81 (348.43)	0.56 (0.12)	0.0 (0.0)	3176.57 (353.32)	0.56 (0.12)	0.0 (0.0)
mirna	mse_density__90	0.1 (0.0)	0.29 (0.14)	0.0 (0.0)	0.55 (0.0)	0.27 (0.13)	0.0 (0.0)	0.07 (0.0)	0.44 (0.22)	0.0 (0.0)	0.51 (0.0)	0.45 (0.21)	0.0 (0.0)	5379.09 (369.38)	0.89 (0.08)	0.25 (0.45)	5339.18 (382.08)	0.89 (0.08)	0.25 (0.45)
mirna	mse_fixed__90	0.1 (0.0)	0.3 (0.15)	0.0 (0.0)	0.55 (0.0)	0.29 (0.13)	0.0 (0.0)	0.07 (0.0)	0.44 (0.22)	0.0 (0.0)	0.51 (0.0)	0.45 (0.21)	0.0 (0.0)	5392.43 (354.03)	0.89 (0.07)	0.19 (0.4)	5351.92 (367.98)	0.89 (0.07)	0.19 (0.4)
mirna	mse_random__90	0.1 (0.0)	0.28 (0.13)	0.0 (0.0)	0.55 (0.0)	0.3 (0.13)	0.0 (0.0)	0.07 (0.0)	0.44 (0.22)	0.0 (0.0)	0.51 (0.0)	0.45 (0.21)	0.0 (0.0)	5364.6 (352.29)	0.86 (0.09)	0.19 (0.4)	5325.3 (364.67)	0.86 (0.09)	0.19 (0.4)
mirna	mse_size__90	0.1 (0.0)	0.29 (0.12)	0.0 (0.0)	0.55 (0.0)	0.28 (0.11)	0.0 (0.0)	0.07 (0.0)	0.44 (0.22)	0.0 (0.0)	0.51 (0.0)	0.45 (0.21)	0.0 (0.0)	5313.43 (461.49)	0.85 (0.12)	0.38 (0.5)	5275.23 (470.1)	0.85 (0.12)	0.38 (0.5)
nuclear_receptors	ad_density__90	<b>0.13 (0.03)</b>	<b>0.59 (0.3)</b>	<b>0.0 (0.0)</b>	0.54 (0.03)	0.66 (0.28)	0.0 (0.0)	0.09 (0.07)	0.52 (0.23)	0.0 (0.0)	0.53 (0.08)	0.68 (0.24)	0.0 (0.0)	<b>0.47 (0.03)</b>	<b>0.4 (0.27)</b>	<b>0.06 (0.25)</b>	<b>0.28 (0.02)</b>	<b>0.39 (0.24)</b>	<b>0.0 (0.0)</b>
nuclear_receptors	ad_fixed__90	<b>0.13 (0.03)</b>	<b>0.54 (0.22)</b>	<b>0.06 (0.25)</b>	0.54 (0.03)	0.52 (0.4)	0.31 (0.48)	0.09 (0.08)	0.54 (0.24)	0.12 (0.34)	0.52 (0.1)	0.44 (0.26)	0.0 (0.0)	<b>0.46 (0.03)</b>	<b>0.44 (0.27)</b>	<b>0.0 (0.0)</b>	<b>0.28 (0.03)</b>	<b>0.4 (0.27)</b>	<b>0.0 (0.0)</b>
nuclear_receptors	ad_random__90	<b>0.13 (0.03)</b>	<b>0.59 (0.3)</b>	<b>0.0 (0.0)</b>	0.54 (0.03)	0.66 (0.28)	0.0 (0.0)	0.09 (0.07)	0.52 (0.23)	0.0 (0.0)	0.53 (0.08)	0.68 (0.24)	0.0 (0.0)	0.51 (0.04)	0.84 (0.14)	0.19 (0.4)	0.32 (0.03)	0.88 (0.16)	0.31 (0.48)
nuclear_receptors	ad_size__90	<b>0.13 (0.03)</b>	<b>0.59 (0.3)</b>	<b>0.0 (0.0)</b>	0.54 (0.03)	0.66 (0.28)	0.0 (0.0)	0.09 (0.07)	0.52 (0.23)	0.0 (0.0)	0.53 (0.08)	0.68 (0.24)	0.0 (0.0)	0.47 (0.04)	0.49 (0.3)	0.06 (0.25)	<b>0.28 (0.03)</b>	<b>0.44 (0.3)</b>	<b>0.06 (0.25)</b>
nuclear_receptors	md_density__90	<b>0.13 (0.03)</b>	<b>0.63 (0.19)</b>	<b>0.0 (0.0)</b>	0.54 (0.03)	0.51 (0.26)	0.0 (0.0)	0.08 (0.06)	0.54 (0.18)	0.0 (0.0)	0.51 (0.09)	0.41 (0.24)	0.0 (0.0)	<b>0.46 (0.04)</b>	<b>0.39 (0.29)</b>	<b>0.12 (0.34)</b>	<b>0.28 (0.03)</b>	<b>0.38 (0.29)</b>	<b>0.12 (0.34)</b>
nuclear_receptors	md_fixed__90	<b>0.13 (0.03)</b>	<b>0.63 (0.19)</b>	<b>0.0 (0.0)</b>	0.54 (0.03)	0.51 (0.26)	0.0 (0.0)	0.08 (0.06)	0.54 (0.18)	0.0 (0.0)	0.51 (0.09)	0.41 (0.24)	0.0 (0.0)	0.48 (0.04)	0.57 (0.28)	0.06 (0.25)	0.29 (0.03)	0.57 (0.22)	0.0 (0.0)
nuclear_receptors	md_random__90	<b>0.13 (0.03)</b>	<b>0.63 (0.19)</b>	<b>0.0 (0.0)</b>	0.54 (0.03)	0.51 (0.26)	0.0 (0.0)	0.08 (0.06)	0.54 (0.18)	0.0 (0.0)	0.51 (0.09)	0.41 (0.24)	0.0 (0.0)	<b>0.47 (0.04)</b>	<b>0.42 (0.25)</b>	<b>0.06 (0.25)</b>	<b>0.28 (0.03)</b>	<b>0.41 (0.23)</b>	<b>0.0 (0.0)</b>
nuclear_receptors	md_size__90	<b>0.13 (0.03)</b>	<b>0.63 (0.19)</b>	<b>0.0 (0.0)</b>	0.54 (0.03)	0.51 (0.26)	0.0 (0.0)	0.08 (0.06)	0.54 (0.18)	0.0 (0.0)	0.51 (0.09)	0.41 (0.24)	0.0 (0.0)	0.48 (0.04)	0.51 (0.31)	0.12 (0.34)	0.29 (0.03)	0.52 (0.32)	0.06 (0.25)
nuclear_receptors	mse_density__90	0.12 (0.03)	0.42 (0.24)	0.0 (0.0)	0.54 (0.03)	0.49 (0.25)	0.0 (0.0)	0.08 (0.05)	0.56 (0.15)	0.0 (0.0)	0.52 (0.05)	0.59 (0.25)	0.0 (0.0)	0.49 (0.04)	0.69 (0.23)	0.12 (0.34)	0.3 (0.03)	0.78 (0.15)	0.19 (0.4)
nuclear_receptors	mse_fixed__90	0.12 (0.03)	0.42 (0.24)	0.0 (0.0)	0.54 (0.03)	0.49 (0.25)	0.0 (0.0)	0.08 (0.05)	0.56 (0.15)	0.0 (0.0)	0.52 (0.05)	0.59 (0.25)	0.0 (0.0)	0.49 (0.03)	0.63 (0.29)	0.12 (0.34)	0.3 (0.03)	0.71 (0.18)	0.12 (0.34)
nuclear_receptors	mse_random__90	0.12 (0.03)	0.42 (0.24)	0.0 (0.0)	0.54 (0.03)	0.49 (0.25)	0.0 (0.0)	0.08 (0.05)	0.56 (0.15)	0.0 (0.0)	0.52 (0.05)	0.59 (0.25)	0.0 (0.0)	0.49 (0.03)	0.64 (0.2)	0.06 (0.25)	0.3 (0.02)	0.65 (0.22)	0.12 (0.34)
nuclear_receptors	mse_size__90	0.12 (0.03)	0.42 (0.24)	0.0 (0.0)	0.54 (0.03)	0.49 (0.25)	0.0 (0.0)	0.08 (0.05)	0.56 (0.15)	0.0 (0.0)	0.52 (0.05)	0.59 (0.25)	0.0 (0.0)	<b>0.47 (0.04)</b>	<b>0.49 (0.29)</b>	<b>0.0 (0.0)</b>	<b>0.28 (0.03)</b>	<b>0.38 (0.25)</b>	<b>0.0 (0.0)</b>
srn	ad_density__90	<b>0.03 (0.0)</b>	<b>0.55 (0.25)</b>	<b>0.0 (0.0)</b>	0.52 (0.0)	0.53 (0.31)	0.0 (0.0)	0.02 (0.01)	0.49 (0.26)	0.0 (0.0)	0.5 (0.01)	0.45 (0.26)	0.0 (0.0)	214.69 (34.33)	0.19 (0.1)	0.0 (0.0)	206.33 (34.89)	0.19 (0.1)	0.0 (0.0)
srn	ad_fixed__90	<b>0.03 (0.0)</b>	<b>0.48 (0.35)</b>	<b>0.19 (0.4)</b>	0.52 (0.0)	0.67 (0.33)	0.38 (0.5)	<b>0.02 (0.01)</b>	<b>0.8 (0.3)</b>	<b>0.62 (0.5)</b>	<b>0.51 (0.01)</b>	<b>0.77 (0.33)</b>	<b>0.56 (0.51)</b>	281.74 (54.14)	0.32 (0.03)	0.0 (0.0)	274.91 (54.25)	0.32 (0.03)	0.0 (0.0)
srn	ad_random__90	<b>0.03 (0.0)</b>	<b>0.55 (0.25)</b>	<b>0.0 (0.0)</b>	0.52 (0.0)	0.53 (0.31)	0.0 (0.0)	0.02 (0.01)	0.49 (0.26)	0.0 (0.0)	0.5 (0.01)	0.45 (0.26)	0.0 (0.0)	203.31 (16.69)	0.19 (0.05)	0.0 (0.0)	194.69 (18.63)	0.19 (0.05)	0.0 (0.0)
srn	ad_size__90	<b>0.03 (0.0)</b>	<b>0.55 (0.25)</b>	<b>0.0 (0.0)</b>	0.52 (0.0)	0.53 (0.31)	0.0 (0.0)	0.02 (0.01)	0.49 (0.26)	0.0 (0.0)	0.5 (0.01)	0.45 (0.26)	0.0 (0.0)	<b>193.93 (14.1)</b>	<b>0.13 (0.05)</b>	<b>0.0 (0.0)</b>	<b>185.62 (16.16)</b>	<b>0.13 (0.05)</b>	<b>0.0 (0.0)</b>
srn	md_density__90	0.03 (0.0)	0.42 (0.25)	0.0 (0.0)	0.52 (0.0)	0.47 (0.24)	0.0 (0.0)	<b>0.02 (0.01)</b>	<b>0.7 (0.2)</b>	<b>0.0 (0.0)</b>	0.51 (0.01)	0.66 (0.24)	0.0 (0.0)	1604.26 (150.16)	0.79 (0.04)	0.0 (0.0)	1597.52 (151.35)	0.79 (0.04)	0.0 (0.0)
